#,Name,GP,NO,SOLO,ASST,TOT,TFL-YDS,SACKS-YDS,INT,BU,QBH,FR,FF,KICK,SAF,Year
33,"33 McGee, Aaron",11,,27,41,68.0,4.0-19,2.0-15,1,1,0,0,1,0,0,2012
10,"10 Polson, Keith",11,,32,28,60.0,0-0,0-0,0,1,0,0,0,0,0,2012
55,"55 Galich, Dustin",8,,20,35,55.0,6.0-20,3.0-15,0,1,0,2,0,0,0,2012
30,"30 Jackson, Nick",11,,18,32,50.0,5.0-19,2.5-11,1,1,0,0,1,0,0,2012
21,"21 Stevens, L.J.",10,,23,26,49.0,4.0-11,1.0-7,2,3,0,2,0,0,0,2012
84,"84 Hyland, Matt",11,,10,34,44.0,7.5-19,4.0-12,0,0,0,0,0,0,0,2012
20,"20 Wingate, Todd",11,,24,20,44.0,3.0-8,0-0,0,4,0,1,2,0,0,2012
38,"38 Behm, Pat",11,,20,23,43.0,3.5-11,1.5-6,0,2,0,1,1,0,0,2012
52,"52 Otto, Niko",11,,12,28,40.0,3.5-10,1.5-6,0,1,0,0,1,0,0,2012
90,"90 Augustin, Serge",11,,13,20,33.0,13.0-56,8.0-40,0,0,0,0,1,0,0,2012
3,"3 Huggins, Deonte",11,,19,11,30.0,4.0-14,0-0,1,5,0,0,0,0,0,2012
37,"37 Foster, Michael",11,,15,13,28.0,2.0-4,0-0,0,6,0,0,0,0,0,2012
27,"27 Robinson, Linnell",11,,19,6,25.0,0.5-1,0-0,3,8,0,1,2,0,0,2012
11,"11 Brown, Mike",11,,13,9,22.0,0.5-1,0-0,0,2,0,1,0,0,0,2012
2,"2 Davis, Aunre'",8,,14,8,22.0,0.5-1,0-0,0,4,0,0,0,0,0,2012
42,"42 Haraczy, Bobby",11,,7,13,20.0,1.0-1,0-0,0,1,0,0,0,0,0,2012
26,"26 Kimball, Colin",10,,14,6,20.0,1.0-1,0-0,0,4,0,0,0,0,0,2012
54,"54 Latimer, T.J.",11,,12,8,20.0,0-0,0-0,0,0,0,1,0,1,1,2012
45,"45 Wild, Garrett",11,,10,10,20.0,1.5-3,0-0,0,1,0,1,1,0,0,2012
47,"47 Hansford, Curtis",10,,5,11,16.0,3.0-18,0.5-3,0,0,0,0,0,0,0,2012
31,"31 Oduho, Martin",8,,5,7,12.0,0-0,0-0,0,0,0,0,1,0,0,2012
22,"22 Mathews, Ricky",11,,5,6,11.0,2.0-11,2.0-11,0,0,0,0,0,0,0,2012
95,"95 Craig, Jr., Sascha",5,,3,7,10.0,0.5-2,0.5-2,0,0,0,0,0,0,0,2012
92,"92 Houston, Tyler",7,,4,6,10.0,0.5-2,0.5-2,0,0,0,0,0,0,0,2012
28,"28 Lyle, Chris",11,,5,4,9.0,0-0,0-0,0,0,0,0,1,1,0,2012
7,"7 Rock, Vladmir",11,,6,2,8.0,0-0,0-0,0,0,0,0,0,2,0,2012
