year,#,Name,GP,NO,yds,avg,td,long,AVG/G
2012,1,"Bruner, Paris",11,37,818,22.11,3,75,74.36
2012,17,"Woods, Devyn",11,35,680,19.43,9,44,61.82
2012,34,"Gallop, Leon",11,8,107,13.38,1,26,9.73
2012,7,"Rock, Vladmir",11,4,84,21.00,1,33,7.64
2012,88,"Bartizal, Ryan",11,4,73,18.25,0,27,6.64
2012,24,"Brown-Dukes, Brandon",11,6,68,11.33,0,29,6.18
2012,40,"Groene, Jeff",7,9,63,7.00,2,13,9.00
2012,9,"Lumpkin, Ozzie",8,4,60,15.00,0,27,7.50
2012,89,"Matarazzo, John",11,4,58,14.50,0,47,5.27
2012,,"Ii, Allen jones",10,3,27,9.00,1,20,2.70
2012,,"Yarbrough, Steve",10,2,27,13.50,0,17,2.70
2012,32,"Gallagher, Paul",4,2,4,2.00,0,2,1.00
2013,17,"Williams, Jaquan",11,33,493,14.94,3,59,44.82
2013,,"Snipes, Marcus",8,7,187,26.71,4,63,23.38
2013,25,"Miller, R.J.",11,15,186,12.40,1,32,16.91
2013,40,"Groene, Jeff",11,14,160,11.43,2,29,14.55
2013,81,"Yarbrough, Stephen",10,8,134,16.75,1,61,13.40
2013,89,"Matarazzo, John",11,7,114,16.29,0,36,10.36
2013,7,"Rock, Vladmir",11,9,103,11.44,0,28,9.36
2013,9,"Lumpkin, Ozzie",6,5,76,15.20,0,26,12.67
2013,87,"Barry, Pat",8,6,68,11.33,1,16,8.50
2013,83,"Bongiorni, Dylan",11,7,52,7.43,0,9,4.73
2013,3,"Briggs, Kyle",3,3,45,15.00,1,18,15.00
2013,34,"Revell, Milton",6,3,43,14.33,0,23,7.17
2013,6,"Sanders, Richie",5,4,43,10.75,0,22,8.60
2013,48,"Latimer, T.J.",11,4,28,7.00,2,13,2.55
2013,24,"Brown-Dukes, Brandon",10,9,27,3.00,0,26,2.70
2013,28,"Lyle, Chris",6,2,18,9.00,0,9,3.00
2013,,"Ii, Allen jones",10,5,17,3.40,0,7,1.70
2013,8,"Jones II, Allen",10,5,17,3.40,0,7,1.70
2013,14,"Robinson, Drew",7,1,9,9.00,0,9,1.29
2013,84,"Hyland, Matt",11,2,7,3.50,2,4,0.64
2013,,"J. miller, R",1,1,6,6.00,0,6,6.00
2014,17,"Williams, Jaquan",10,33,614,18.61,4,48,61.40
2014,81,"Yarbrough, Stephen",10,25,596,23.84,7,57,59.60
2014,25,"Miller, R.J.",10,36,395,10.97,5,28,39.50
2014,48,"Latimer, T.J.",9,25,280,11.20,4,35,31.11
2014,83,"Bongiorni, Dylan",10,13,226,17.38,0,35,22.60
2014,27,"Robinson, Drew",10,9,193,21.44,1,78,19.30
2014,80,"Novak, Brad",10,15,156,10.40,0,28,15.60
2014,24,"Brown-Dukes, Brandon",10,18,129,7.17,2,21,12.90
2014,89,"Matarazzo, John",7,13,122,9.38,1,24,17.43
2014,85,"Holl, Donny",10,7,72,10.29,2,18,7.20
2014,35,"Misterman, Alex",7,3,32,10.67,0,19,4.57
2014,88,"Miller, Andrew",8,2,28,14.00,1,16,3.50
2014,3,"Briggs, Kyle",8,1,4,4.00,0,4,0.50
2015,1,"Williams, FJ",11,57,909,15.95,9,58,82.64
2015,17,"Williams, Jaquan",10,47,618,13.15,6,37,61.80
2015,48,"Latimer, T.J.",11,35,321,9.17,4,66,29.18
2015,83,"Bongiorni, Dylan",11,21,264,12.57,1,44,24.00
2015,5,"Sanders, Richie",11,16,171,10.69,0,26,15.55
2015,89,"Matarazzo, John",10,15,165,11.00,5,21,16.50
2015,24,"Brown-Dukes, Brandon",11,20,156,7.80,1,68,14.18
2015,27,"Robinson, Drew",11,8,109,13.63,0,38,9.91
2015,21,"Holl, Donny",10,10,104,10.40,0,24,10.40
2015,16,"Emerick, Zach",8,1,28,28.00,0,28,3.50
2015,80,"Novak, Brad",10,5,23,4.60,0,9,2.30
2015,3,"Briggs, Kyle",11,1,1,1.00,0,1,0.09
2016,80,"Novak, Brad",11,34,709,20.85,6,69,64.45
2016,13,"Clay, Danavian",11,43,478,11.12,4,53,43.45
2016,8,"Matthews, Brian",9,15,252,16.80,2,89,28.00
2016,5,"Sanders, Richie",11,25,247,9.88,1,35,22.45
2016,85,"Mostoller, Bryce",11,23,237,10.30,3,28,21.55
2016,88,"Waldron, Clay",8,7,151,21.57,1,42,18.88
2016,36,"Bauer, Pierce",11,20,146,7.30,2,31,13.27
2016,14,"Smith, Zach",11,12,132,11.00,1,23,12.00
2016,27,"Robinson, Drew",11,22,130,5.91,0,20,11.82
2016,32,"Williams, Trae",10,1,18,18.00,0,18,1.80
2016,86,"Carbone, Joe",10,1,14,14.00,0,14,1.40
2016,2,"Smith, E'Andre",11,3,14,4.67,0,12,1.27
2016,18,"Kraft, Casey",2,1,6,6.00,0,6,3.00
2016,61,"Kronmiller, Ryan",1,1,3,3.00,0,3,3.00
2017,80,"Novak, Brad",11,55,870,15.82,10,46,79.09
2017,14,"Smith, Zach",11,34,493,14.50,0,43,44.82
2017,8,"Hence, Austin",6,17,267,15.71,1,42,44.50
2017,,"Blackston, Theo",11,30,209,6.97,3,23,19.00
2017,21,"Owens, Garrett",10,18,165,9.17,1,27,16.50
2017,85,"Mostoller, Bryce",11,14,128,9.14,0,21,11.64
2017,10,"Placke, Marcus",8,8,107,13.38,0,28,13.38
2017,15,"Altavilla, Doug",11,2,78,39.00,1,61,7.09
2017,2,"Smith, E'Andre",9,9,54,6.00,0,12,6.00
2017,4,"Clay, Danavian",7,4,39,9.75,0,19,5.57
2017,86,"Carbone, Joe",11,5,24,4.80,0,12,2.18
2017,27,"Taylor, Grayson",9,2,15,7.50,0,14,1.67
2017,23,"Waldron, Clay",11,1,13,13.00,0,13,1.18
2017,28,"Thompson, Cameron",10,4,8,2.00,0,6,0.80
2018,23,"Waldron, Clay",11,31,540,17.42,4,73,49.09
2018,3,"Hence, Austin",11,25,361,14.44,2,37,32.82
2018,21,"Owens, Garrett",9,23,220,9.57,2,60,24.44
2018,83,"Altavilla, Nick",11,13,167,12.85,1,35,15.18
2018,10,"Placke, Marcus",11,16,149,9.31,0,25,13.55
2018,,"Blackston, T",11,13,113,8.69,1,29,10.27
2018,85,"Mostoller, Bryce",11,15,102,6.80,2,13,9.27
2018,25,"Green, Fredrick",11,6,48,8.00,1,22,4.36
2018,4,"Watson, Cortez",11,3,19,6.33,0,11,1.73
2018,17,"Smith, Austin",7,1,12,12.00,0,12,1.71
2018,15,"Altavilla, Doug",11,1,6,6.00,0,6,0.55
2018,89,"Freeman, Romello",3,1,3,3.00,0,3,1.00
2018,36,"Armstrong, Jason",3,1,2,2.00,0,2,0.67
2019,23,"Waldron, Clay",11,26,483,18.58,2,80,43.91
2019,21,"Owens, Garrett",11,31,342,11.03,2,67,31.09
2019,37,"Shoaf, Dustin",11,23,251,10.91,1,29,22.82
2019,36,"Armstrong, Jason",11,21,233,11.10,6,27,21.18
2019,5,"Altavilla, Nick",11,21,194,9.24,2,25,17.64
2019,3,"Hence, Austin",4,11,190,17.27,2,32,47.50
2019,10,"Placke, Marcus",10,17,178,10.47,1,38,17.80
2019,4,"Watson, Cortez",11,17,173,10.18,2,25,15.73
2019,84,"O'Brien, Cordell",9,6,153,25.50,0,50,17.00
2019,86,"Carbone, Joe",4,4,42,10.50,0,27,10.50
2019,15,"Altavilla, Doug",11,2,26,13.00,0,16,2.36
2019,27,"Taylor, Grayson",3,1,8,8.00,0,8,2.67
2019,87,"Ismail, Qadry",2,1,7,7.00,0,7,3.50
2019,20,"Isom, Daquan",10,2,7,3.50,0,5,0.70
2020,82,"Barmore, Cameron",1,7,150,21.43,1,62,150.00
2020,25,"Green, Fredrick",1,7,46,6.57,0,10,46.00
2020,7,"Hill Jr., Justin",1,2,34,17.00,1,26,34.00
2020,7,"Hill Jr., Justin",1,2,34,17.00,1,26,34.00
2020,9,"Shoaf, Dustin",1,1,8,8.00,0,8,8.00
2020,36,"Pytlak, Russell",1,1,7,7.00,0,7,7.00
2020,48,"Banas, Sean",1,1,1,1.00,0,1,1.00
2021,3,"Barmore, Cameron",11,30,416,13.87,4,35,37.82
2021,6,"Armstrong, Jason",11,37,400,10.81,4,34,36.36
2021,16,"Davison, Rylan",10,23,268,11.65,1,31,26.80
2021,7,"Hill Jr., Justin",11,22,244,11.09,1,30,22.18
2021,80,"Burris, Makai",11,16,228,14.25,1,50,20.73
2021,7,"Hill Jr., Justin",8,16,189,11.81,1,28,23.63
2021,86,"Tate, Trevon",9,12,167,13.92,1,68,18.56
2021,9,"Shoaf, Dustin",11,11,77,7.00,0,24,7.00
2021,,Justin hill jr,3,6,55,9.17,0,30,18.33
2021,15,"Cooper, Diondre",9,6,43,7.17,0,13,4.78
2021,25,"Alize, David",11,6,33,5.50,0,12,3.00
2021,31,"Rodriguez, Ayron",6,6,26,4.33,1,17,4.33
2021,5,"Helsley, Zack",11,4,25,6.25,0,11,2.27
2021,48,"Banas, Sean",11,4,24,6.00,1,11,2.18
2021,19,"Carter, Joe",8,2,21,10.50,0,20,2.63
2021,84,"Yohman, Jacob",10,2,14,7.00,0,13,1.40
2021,88,"Fisher, Ryan",5,2,8,4.00,0,5,1.60
2021,13,"Moss, Chawntez",7,2,8,4.00,0,7,1.14
2021,10,"Lowery, Michael",5,1,3,3.00,0,3,0.60
2021,83,"Beattie, Griffin",7,0,0,0.00,0,0,0.00
2022,2,"Barmore, Cameron",11,34,583,17.15,6,59,53.00
2022,86,"Tate, Trevon",10,29,393,13.55,3,49,39.30
2022,7,"Hill Jr., Justin",11,22,250,11.36,1,24,22.73
2022,7,"Hill Jr., Justin",9,14,161,11.50,1,24,17.89
2022,87,"Kerbacher, Joe",10,15,156,10.40,3,40,15.60
2022,6,"Armstrong, Jason",8,13,113,8.69,1,35,14.13
2022,15,"Cooper, Diondre",11,16,108,6.75,0,25,9.82
2022,13,"Burris, Makai",8,7,90,12.86,0,30,11.25
2022,,"Jr, Justin hill",2,8,89,11.13,0,15,44.50
2022,85,"Mizgorski, Darin",9,9,74,8.22,1,33,8.22
2022,1,"Alize, David",9,14,62,4.43,0,16,6.89
2022,,"Mizgorski, Dari",2,4,31,7.75,0,17,15.50
2022,28,"Butera, Jaylen",9,5,26,5.20,0,16,2.89
2022,21,"Holl, Jacob",11,1,19,19.00,0,19,1.73
2022,9,"Shoaf, Dustin",9,6,16,2.67,0,10,1.78
2022,,Team,9,1,9,9.00,0,9,1.00
2022,48,"Banas, Sean",5,2,8,4.00,0,6,1.60
2022,84,"Yohman, Jacob",8,1,5,5.00,0,5,0.63
2022,,"Cerminara, Roma",2,1,4,4.00,0,4,2.00
2022,82,"Bishop, Elias",6,0,0,0.00,0,0,0.00
2022,27,"Rodriguez, Ayron",2,0,0,0.00,0,0,0.00
2023,7,"Kerbacher, Joe",11,42,584,13.90,4,57,53.09
2023,14,"Black, Braydon",10,28,383,13.68,4,49,38.30
2023,13,"Urena, Austin",11,30,314,10.47,2,35,28.55
2023,8,"Davison, Rylan",5,24,270,11.25,4,39,54.00
2023,2,"Barmore, Cameron",5,20,237,11.85,4,28,47.40
2023,4,"Mizgorski, Darin",9,25,228,9.12,1,29,25.33
2023,6,"Tate, Trevon",5,14,188,13.43,1,30,37.60
