No,Name,GP,ATT,Net,AVG,TD,Long,AVG/G,Year
24.0,"Brown-Dukes, Brandon",11,244,1295,5.3,16,65,117.7,2012
,"Ii, Allen jonesIi",10,118,666,5.6,,46,66.6,2012
49.0,"Revell, Milton",5,23,122,5.3,1,25,24.4,2012
28.0,"Lyle, Chris",11,13,80,6.2,0,32,7.3,2012
4.0,"Vendemia, Anthony",11,68,47,0.7,4,24,4.3,2012
17.0,"Woods, Devyn",11,3,24,8.0,0,12,2.2,2012
32.0,"Gallagher, Paul",4,3,18,6.0,0,14,4.5,2012
89.0,"Matarazzo, John",11,1,9,9.0,0,9,0.8,2012
5.0,"Swartz, Alec",4,1,5,5.0,0,5,1.2,2012
34.0,"Gallop, Leon",11,1,0,0.0,0,0,0.0,2012
7.0,"Rock, Vladmir",11,1,-2,-2.0,0,0,-0.2,2012
97.0,"Wakefield, Steven",11,2,-2,-1.0,0,13,-0.2,2012
,TeamTeam,6,10,-17,-1.7,,0,-2.8,2012
24.0,"Brown-Dukes, Brandon",10,144,1008,7.0,8,77,100.8,2013
,"Ii, Allen jonesIi",10,155,993,6.4,,59,99.3,2013
8.0,"Jones II, Allen",10,155,993,6.4,,59,99.3,2013
6.0,"Sanders, Richie",5,48,311,6.5,3,74,62.2,2013
14.0,"Robinson, Drew",7,19,150,7.9,2,45,21.4,2013
34.0,"Revell, Milton",6,22,89,4.0,0,13,14.8,2013
28.0,"Lyle, Chris",6,9,58,6.4,1,43,9.7,2013
4.0,"Vendemia, Anthony",10,32,22,0.7,2,13,2.2,2013
40.0,"Groene, Jeff",11,4,17,4.3,1,7,1.6,2013
81.0,"Yarbrough, Stephen",10,1,15,15.0,0,15,1.5,2013
7.0,"Rock, Vladmir",11,2,6,3.0,0,13,0.6,2013
48.0,"Latimer, T.J.",11,1,3,3.0,,3,0.3,2013
16.0,"Emerick, Zach",5,2,-2,-1.0,0,5,-0.4,2013
99.0,"Spangler, Jordan",11,1,-3,-3.0,0,0,-0.3,2013
5.0,"Swartz, Alec",6,8,-6,-0.8,1,16,-1.0,2013
83.0,"Bongiorni, Dylan",11,1,-11,-11.0,0,0,-1.0,2013
,TeamTeam,9,10,-34,-3.4,,0,-3.8,2013
24.0,"Brown-Dukes, Brandon",10,186,774,4.2,5,63,77.4,2014
27.0,"Robinson, Drew",10,45,154,3.4,1,25,15.4,2014
13.0,"Boylan, Brendan",9,40,133,3.3,3,25,14.8,2014
17.0,"Williams, Jaquan",10,5,30,6.0,1,22,3.0,2014
35.0,"Misterman, Alex",7,17,28,1.6,1,5,4.0,2014
25.0,"Miller, R.J.",10,1,7,7.0,,7,0.7,2014
85.0,"Holl, Donny",10,1,5,5.0,0,5,0.5,2014
,TeamTeam,7,14,-18,-1.3,,0,-2.6,2014
16.0,"Emerick, Zach",7,15,-22,-1.5,2,6,-3.1,2014
24.0,"Brown-Dukes, Brandon",11,165,726,4.4,5,44,66.0,2015
5.0,"Sanders, Richie",11,76,467,6.1,2,75,42.4,2015
27.0,"Robinson, Drew",11,29,150,5.2,2,25,13.6,2015
83.0,"Bongiorni, Dylan",11,2,12,6.0,0,10,1.1,2015
19.0,"Weaver, Logan",4,8,6,0.8,1,13,1.5,2015
17.0,"Williams, Jaquan",10,5,2,0.4,0,7,0.2,2015
93.0,"Kondis, Dylan",11,1,-1,-1.0,0,0,-0.1,2015
80.0,"Novak, Brad",10,1,-13,-13.0,0,0,-1.3,2015
,TeamTeam,9,9,-16,-1.8,,0,-1.8,2015
13.0,"Boylan, Brendan",7,19,-37,-1.9,1,8,-5.3,2015
16.0,"Emerick, Zach",8,28,-41,-1.5,2,10,-5.1,2015
5.0,"Sanders, Richie",11,165,802,4.9,8,51,72.9,2016
27.0,"Robinson, Drew",11,76,366,4.8,2,47,33.3,2016
2.0,"Smith, E'Andre",11,32,148,4.6,,45,13.4,2016
80.0,"Novak, Brad",11,3,39,13.0,0,20,3.6,2016
36.0,"Bauer, Pierce",11,1,-1,-1.0,0,0,-0.1,2016
,"Finnegan, RamFinnegan",2,3,-4,-1.3,,6,-2.0,2016
4.0,"Weaver, Logan",5,3,-6,-2.0,0,9,-1.2,2016
