No,Name,GP,ATT,Net,avg,TD,Long,AVG/G,Year
1,"Alize, David",9,112,449,4.0,112,50,49.9,2022
9,"Shoaf, Dustin",9,113,429,3.8,113,33,47.7,2022
15,"Cooper, Diondre",11,52,186,3.6,52,36,16.9,2022
28,"Butera, Jaylen",9,31,124,4.0,31,36,13.8,2022
27,"Rodriguez, Ayron",2,12,69,5.8,12,12,34.5,2022
40,"Pappas, Mike",2,3,6,2.0,3,2,3.0,2022
61,"Welch, Ryan",9,0,1,1.0,0,1,0.1,2022
49,"Robinson, Shane",4,1,0,0.0,1,0,0.0,2022
,TeamTeam,9,1,-5,-5.0,1,0,-0.6,2022
19,"Carter, Joe",7,14,-9,-0.6,14,12,-1.3,2022
10,"Lowery, Michael",8,24,-25,-1.0,24,16,-3.1,2022
,"Alsobrooks, BriAlsobrooks",3,9,-70,-7.8,9,0,-23.3,2022
12,"Alsobrooks, Brian",11,16,-90,-5.6,16,16,-8.2,2022
