Name,NO,YDS,AVG,TD,Long,Year
"Stevens, L.J.",14,123,8.79,0,49,2012
"Davis, Aunre'",1,21,21.00,0,21,2012
"Latimer, T.J.",1,18,18.00,0,0,2012
"Brown, Mike",1,0,0,0,0,2012
"Rock, Vladmir",1,0,0,0,0,2012
"Bruner, Paris",2,-5,-2.50,0,0,2012
"Snipes, Marcus",3,63,21.00,0,45,2013
"Stevens, Dorian",8,60,7.50,0,24,2013
"Rock, Vladmir",1,24,24.00,0,14,2013
"Davis, Aunre'",1,2,2.00,0,2,2013
"Revell, Milton",1,1,1.00,0,0,2013
"Kimball, Colin",11,135,12.27,1,61,2014
"Behm, Pat",1,36,36.00,0,0,2014
"Stevens, Dorian",4,28,7.00,0,12,2014
"Wild, Garrett",1,18,18.00,0,0,2014
"Sanders, Richie",8,158,19.75,1,50,2015
"Gabor, Joey",1,5,5.00,0,5,2015
"Briggs, Kyle",1,2,2.00,0,2,2015
"Sanders, Richie",23,219,9.52,1,66,2016
"Smith, E'Andre",1,53,53.00,0,0,2016
"Marsh, Akeel",1,33,33.00,0,0,2016
"Briggs, Kyle",0,10,∞,2,8,2016
"Stevens, Dorian",1,6,6.00,0,6,2016
"Novak, Brad",15,76,5.07,0,17,2017
"McDowell, Emmanuel",1,2,2.00,0,0,2017
"Watson, Cortez",13,121,9.31,0,77,2018
"Caldwell, Henry",1,21,21.00,0,21,2018
"Tarasovitch, Jake",4,16,4.00,0,5,2018
"Altavilla, Nick",2,9,4.50,0,5,2018
"Waldron, Clay",1,4,4.00,0,4,2018
"Altavilla, Nick",5,31,6.20,0,13,2019
"Lawless, Quinn",1,19,19.00,0,0,2019
"Watson, Cortez",7,17,2.43,0,10,2019
"Isom, Daquan",1,3,3.00,0,3,2019
"Pappas, Mike",1,1,1.00,0,1,2020
"Brickman, Keith",8,21,2.63,0,9,2021
"Rodriguez, Dante",1,1,1.00,0,1,2021
"Brickman, Keith",13,173,13.31,0,57,2022
"Hill Jr., Justin",1,5,5.00,0,5,2022
"Hill Jr., Justin",1,5,5.00,0,5,2022
"Kerbacher, Joe",5,31,6.20,0,16,2023
"Mullins, Jerome",1,0,0,0,0,2023
"Davis, Chaz",6,132,22.00,0,55,2024
"Black, Braydon",1,26,26.00,0,26,2024
"Askew, Jordan",1,21,21.00,1,18,2024
"Wright, Travell",1,17,17.00,0,17,2024
"Kerbacher, Joe",1,16,16.00,0,16,2024
"Kerbacher, Joe",5,21,4.20,0,10,2025
"Black, Braydon",4,11,2.75,0,9,2025
"Young, Max",1,7,7.00,0,7,2025
