No,Name,GP,ATT,Net,avg,TD,Long,AVG/G,Year
24,"Brown-Dukes, Brandon",10,144,1008,7.0,144,77,100.8,2013
,"Ii, Allen jonesIi",10,155,993,6.4,155,59,99.3,2013
8,"Jones II, Allen",10,155,993,6.4,155,59,99.3,2013
6,"Sanders, Richie",5,48,311,6.5,48,74,62.2,2013
14,"Robinson, Drew",7,19,150,7.9,19,45,21.4,2013
34,"Revell, Milton",6,22,89,4.0,22,13,14.8,2013
28,"Lyle, Chris",6,9,58,6.4,9,43,9.7,2013
4,"Vendemia, Anthony",10,32,22,0.7,32,13,2.2,2013
40,"Groene, Jeff",11,4,17,4.3,4,7,1.6,2013
81,"Yarbrough, Stephen",10,1,15,15.0,1,15,1.5,2013
7,"Rock, Vladmir",11,2,6,3.0,2,13,0.6,2013
48,"Latimer, T.J.",11,1,3,3.0,1,3,0.3,2013
16,"Emerick, Zach",5,2,-2,-1.0,2,5,-0.4,2013
99,"Spangler, Jordan",11,1,-3,-3.0,1,0,-0.3,2013
5,"Swartz, Alec",6,8,-6,-0.8,8,16,-1.0,2013
83,"Bongiorni, Dylan",11,1,-11,-11.0,1,0,-1.0,2013
,TeamTeam,9,10,-34,-3.4,10,0,-3.8,2013
