date,opponent,site,result,score,duration,attendance
2012-08-30,Notre Dame College,A,L,42-59,3:00,1498
2012-09-08,Millersville,A,W,45-7,3:23,1188
2012-09-15,Clarion University,H,W,22-14,2:50,1500
2012-09-22,Slippery Rock,H,W,38-23,2:53,1665
2012-09-29,Cheyney University,A,W,36-10,2:36,296
2012-10-06,Lock Haven,H,W,19-10,2:35,575
2012-10-13,Gannon University,A,W,38-29,3:00,1560
2012-10-20,Indiana (PA),A,L,13-31,2:40,1896
2012-10-27,Edinboro,A,W,24-21,2:43,573
2012-11-03,California (Pa.),H,W,40-7,2:53,800
2012-11-10,East Stroudsburg,H,W,52-45,3:22,1350
2013-09-07,Bentley,A,L,16-17,2:33,2926
2013-09-07,Univ.,,,1-2,,228
2013-09-14,Millersville Univ.,H,W,49-7,2:20,1600
2013-09-14,Univ.,,,0-2,,102
2013-09-21,Clarion University,A,L,13-20,2:30,523
2013-09-21,MER,,,2-3,,296
2013-09-28,Slippery Rock,A,L,34-58,3:09,5174
2013-10-05,Cheyney University,H,W,63-14,2:43,2733
2013-10-05,Univ.,,,0-0,,155
2013-10-12,Seton Hill,A,W,50-19,,850
2013-10-12,Univ.,,,0-0,,314
2013-10-17,vs. Gannon University,,W,51-21,2:54,1344
2013-10-17,Gannon University,,,3-3,,550
2013-10-17,Univ.,,,0-0,,267
2013-10-26,Indiana Univ. of Pa.,H,L,6-28,2:45,627
2013-10-26,Univ.,,,0-0,,349
2013-11-02,Edinboro University,H,W,19-6,2:38,798
2013-11-02,Univ.,,,0-1,,158
2013-11-09,California (Pa.),A,W,23-20,2:32,1328
2013-11-16,East Stroudsburg,A,W,37-20,2:50,800
2014-09-06,Bentley,A,L,21-27,2:36,2210
2014-09-13,West Chester,A,L,14-38,2:57,4593
2014-09-20,Bloomsburg,H,L,22-38,2:55,2178
2014-09-27,Indiana (PA),A,L,7-41,2:27,2859
2014-10-04,Clarion,H,W,28-0,3:00,2213
2014-10-11,Gannon University,A,W,45-38,3:05,2500
2014-10-18,vs. Slippery Rock,,W,45-23,2:48,15121
2014-10-18,Slippery Rock,,,1-1,,368
2014-10-23,vs. Edinboro,,W,31-10,2:57,1288
2014-10-23,Edinboro,,,1-1,,342
2014-11-01,Seton Hill,A,W,49-32,3:13,450
2014-11-08,California (Pa.),H,W,59-49,3:12,1179
2015-09-05,Bentley,H,W,35-20,2:47,2441
2015-09-12,West Chester,H,W,37-35,3:16,1488
2015-09-19,Bloomsburg,A,W,20-14,,5029
2015-09-26,Indiana (PA),H,L,14-35,2:38,3488
2015-10-03,Clarion University,A,L,27-41,2:57,2750
2015-10-03,MER,,,2-2,,451
2015-10-10,Gannon,H,L,13-16,3:19,2948
2015-10-17,Slippery Rock,H,L,24-35,3:11,1021
2015-10-22,Edinboro,A,W,38-28,2:42,3121
2015-10-31,Seton Hill,H,W,41-13,2:54,1518
2015-11-07,California (PA),A,L,21-31,2:39,1793
2015-11-14,Shippensburg,A,L,20-69,3:02,2671
2016-09-01,Ashland University,A,L,0-48,2:37,3075
2016-09-10,Kutztown,A,W,23-19,2:58,4811
2016-09-17,East Stroudsburg,H,L,31-34,2:12,2281
2016-09-24,Clarion,H,L,34-35,3:10,2967
2016-10-01,Gannon University,A,W,38-35,3:00,2500
2016-10-08,Slippery Rock,A,L,25-37,3:19,3723
2016-10-15,Edinboro,H,L,16-45,2:46,1382
2016-10-22,Seton Hill,A,L,45-55,3:38,1742
2016-10-29,California (Pa.),H,L,14-55,2:58,1372
2016-11-05,Indiana (PA),A,L,20-31,2:45,1887
2016-11-12,Lock Haven,H,W,49-14,2:32,1372
2017-09-02,Hillsdale,H,L,11-19,2:34,1382
2017-09-09,Kutztown,H,L,16-21,2:28,1183
2017-09-16,East Stroudsburg,A,W,25-20,2:54,1100
2017-09-23,Clarion,A,W,21-18,,1496
2017-09-30,Gannon,H,W,24-22,3:08,4012
2017-10-07,Slippery Rock,H,L,28-31,3:00,1542
2017-10-14,Edinboro,A,L,25-28,2:41,4548
2017-10-21,Seton Hill,H,W,35-16,2:40,1235
2017-10-28,California (PA),A,L,21-31,2:57,724
2017-11-04,Indiana (Pa.),H,L,10-36,2:50,1178
2017-11-11,Lock Haven,A,W,23-10,2:35,1379
2018-09-01,Hillsdale College,A,L,9-14,4:35,1963
2018-09-08,Tiffin University,H,L,20-24,2:53,1274
2018-09-15,Bloomsburg,H,W,14-10,3:06,1739
2018-09-22,Indiana (PA),A,L,7-34,2:36,3406
2018-09-29,Slippery Rock,A,L,21-41,3:05,5936
2018-10-06,Edinboro,H,W,24-6,2:59,1505
2018-10-13,Seton Hill,A,L,33-34,2:50,500
2018-10-20,California (Pa.),H,L,0-23,3:04,1082
2018-10-27,Gannon University,A,W,38-21,2:46,1001
2018-11-03,Clarion,H,W,14-7,2:44,1723
2018-11-10,Millersville,H,W,35-14,,834
2019-09-05,Lake Erie,H,W,21-16,3:15,1429
2019-09-14,Shepherd,H,L,17-22,,1124
2019-09-21,Bloomsburg,A,W,38-24,2:59,3229
2019-09-28,IUP,H,L,24-56,3:23,3275
2019-10-05,Slippery Rock,H,L,14-45,3:13,2832
2019-10-12,Edinboro,A,W,44-23,2:54,4421
2019-10-19,Seton Hill,H,L,20-30,3:01,1257
2019-10-26,California (PA),A,L,15-27,2:51,785
2019-11-02,Gannon,H,W,28-7,2:50,1107
2019-11-09,Clarion,A,W,57-10,3:05,2361
2019-11-16,Millersville,A,W,17-7,2:38,1200
2021-04-24,Gannon,A,L,21-28,2:56,497
2021-09-04,Alderson Broaddus,H,W,18-3,02:45,2257
2021-09-11,West Chester,H,L,10-56,02:49,903
2021-09-18,East Stroudsburg,A,L,7-17,2:39,1273
2021-09-25,Indiana (PA),H,L,13-48,03:00,1078
2021-10-02,California (PA),A,L,0-37,2:40,4369
2021-10-09,Seton Hill,H,L,17-19,03:09,778
2021-10-16,Edinboro,A,W,27-20,02:42,1244
2021-10-23,Slippery Rock,H,L,17-20,02:53,1320
2021-10-30,Clarion,A,W,38-20,02:56,783
2021-11-06,Gannon,H,W,24-13,03:11,0
2021-11-13,Shippensburg,A,L,13-17,2:35,1491
2022-09-03,Alderson Broaddus,A,W,45-28,3:11,1056
2022-09-10,Lock Haven,A,W,49-7,02:49,1853
2022-09-17,Kutztown,H,L,31-50,03:51,1347
2022-09-24,Indiana (PA),A,L,16-33,02:38,5292
2022-10-01,Edinboro,H,L,13-16,03:10,2179
2022-10-08,Slippery Rock,A,L,17-31,2:43,5422
2022-10-15,Clarion,H,L,21-23,02:33,1098
2022-10-22,Gannon,A,L,14-49,2:41,1737
2022-10-29,Cal U (PA),H,L,20-44,02:57,854
2022-11-05,Seton Hill,A,L,0-7,2:35,675
2022-11-14,Bloomsburg,H,L,13-16,02:52,888
2023-08-31,Ferris St.,A,L,12-54,04:00,0
2023-09-09,Lock Haven,H,W,41-29,03:29,442
2023-09-16,Kutztown,A,L,14-47,2:33,3562
2023-09-23,Indiana (PA),H,L,13-30,02:05,0
2023-09-30,Edinboro,A,L,24-40,02:53,3654
2023-10-07,Slippery Rock,H,L,31-75,03:13,1411
2023-10-14,Clarion,A,W,36-35,02:32,987
2023-10-21,Gannon,H,L,28-31,02:52,597
2023-10-28,California (PA),A,L,19-58,2:41,2427
2023-11-04,Seton Hill,H,L,0-14,03:04,300
2023-11-11,Shepherd,A,L,25-49,2:47,4879
2024-08-29,Wheeling,A,W,28-25,02:58,500
2024-09-07,Howard,A,L,31-32,03:30,6568
2024-09-14,Robert Morris,A,L,28-55,03:30,2393
2024-09-21,Montana St.,A,L,13-52,03:23,21547
2024-09-28,Frostburg St.,H,L,24-25,02:38,1150
2024-10-05,Buffalo St.,H,W,55-0,03:13,2215
2024-10-12,Central Connecticut,A,L,20-38,03:14,3167
2024-10-26,Sacred Heart,A,L,14-31,03:12,2645
2024-11-02,Duquesne,A,L,24-31,03:05,1654
2024-11-09,Lincoln (CA),H,W,66-0,02:55,540
2024-11-23,Saint Francis,H,W,21-20,02:41,826
2025-08-28,Youngstown St.,A,L,15-24,03:10,7040
2025-09-06,New Haven,H,W,48-14,02:47,777
2025-09-13,Sacramento St.,A,L,28-49,03:28,12231
2025-09-20,Montana St.,A,L,0-17,02:46,21317
2025-09-27,South Dakota St.,A,L,7-51,03:04,19034
2025-10-04,LIU,H,W,22-13,03:13,2100
2025-10-11,Wagner,A,W,19-7,02:44,1123
2025-10-18,Duquesne,H,L,0-37,02:39,2214
2025-10-25,Stonehill,H,L,15-22,02:50,1257
2025-11-08,Saint Francis,A,W,16-15,03:14,987
