No,Name,GP,ATT,Net,avg,TD,Long,AVG/G,Year
2,"Trobel, Brian",12,157,983,6.3,157,63,81.9,2025
3,"Rodriguez, Ayron",12,74,280,3.8,74,18,23.3,2025
22,"Gamble, Jameir",8,31,152,4.9,31,28,19.0,2025
25,"Askew, Jonathan",11,19,91,4.8,19,18,8.3,2025
6,"Van Dyke, Evan",12,4,33,8.3,4,19,2.8,2025
23,"Evans, Dylan",12,2,13,6.5,2,8,1.1,2025
40,"Miller, Ryan",7,2,12,6.0,2,8,1.7,2025
4,"Wright-Rawls, Taylor",8,2,11,5.5,2,6,1.4,2025
31,"Hawkins Jr., Mark",10,1,3,3.0,1,3,0.3,2025
42,"Knox, Ethen",5,3,1,0.3,3,2,0.2,2025
58,"Balgo, Joey",10,0,0,0.0,0,0,0.0,2025
7,"Kerbacher, Joe",12,1,-2,-2.0,1,0,-0.2,2025
80,"Woods, Jason",11,2,-2,-1.0,2,7,-0.2,2025
,TeamTeam,12,4,-3,-0.8,4,0,-0.2,2025
15,"Budak, Anthony",2,1,-5,-5.0,1,0,-2.5,2025
16,"Urena, Adam",12,44,-105,-2.4,44,10,-8.8,2025
