Name,NO,YDS,AVG,TD,Long,Year
"Bruner, Paris",17,554,32.59,2,97,2012
"Stevens, L.J.",7,190,27.14,1,83,2012
"Woods, Devyn",3,94,31.33,0,49,2012
"Rock, Vladmir",5,59,11.80,0,20,2012
"Brown-Dukes, Brandon",2,43,21.50,0,27,2012
"Davis, Aunre'",1,23,23.00,0,23,2012
"Latimer, T.J.",1,3,3.00,0,3,2012
"Sanders, Richie",10,315,31.50,0,59,2013
"Snipes, Marcus",7,216,30.86,0,44,2013
"Robinson, Drew",5,114,22.80,0,29,2013
"Rock, Vladmir",5,109,21.80,0,30,2013
"Revell, Milton",5,68,13.60,0,31,2013
"Stevens, Dorian",3,55,18.33,0,19,2013
"Groene, Jeff",2,24,12.00,0,17,2013
"Davis, Aunre'",2,21,10.50,0,11,2013
"Robinson, Drew",21,599,28.52,1,87,2014
"Stevens, Dorian",15,281,18.73,0,34,2014
"Williams, Jaquan",6,137,22.83,0,30,2014
"Moyer, Danny",1,30,30.00,0,30,2014
"Briggs, Kyle",1,22,22.00,0,22,2014
"Miller, R.J.",1,12,12.00,0,12,2014
"Smith, Alex",1,1,1.00,0,1,2014
"Sanders, Richie",34,737,21.68,0,51,2015
"Robinson, Drew",14,205,14.64,0,37,2015
"Redwood, Dante",3,64,21.33,0,27,2015
"Moyer, Danny",2,19,9.50,0,17,2015
"Latimer, T.J.",1,14,14.00,0,14,2015
"Mostoller, Bryce",1,2,2.00,0,2,2015
"Sanders, Richie",36,959,26.64,0,73,2016
"Robinson, Drew",12,299,24.92,0,53,2016
"Smith, E'Andre",11,211,19.18,0,29,2016
"Redwood, Dante",2,37,18.50,0,23,2016
"Briggs, Kyle",1,32,32.00,0,32,2016
"Young, Ben",1,24,24.00,0,24,2016
"Smith, Alex",1,0,0.00,0,0,2016
"Thompson, Cameron",13,265,20.38,0,32,2017
"Redwood, Dante",10,218,21.80,0,47,2017
"Young, Ben",9,167,18.56,0,35,2017
"Smith, E'Andre",5,105,21.00,0,34,2017
"McDowell, Emmanuel",3,75,25.00,0,55,2017
"Novak, Brad",2,53,26.50,0,35,2017
"Mostoller, Bryce",1,5,5.00,0,5,2017
"Blackston, Theo",1,0,0.00,0,0,2017
"Redwood, Dante",16,489,30.56,1,96,2018
"Watson, Cortez",18,417,23.17,0,39,2018
"Owens, Garrett",5,138,27.60,0,44,2018
"Placke, Marcus",1,18,18.00,0,18,2018
"Waldron, Clay",1,14,14.00,0,14,2018
"Burrows, Bradley",1,2,2.00,0,2,2018
"Holl, Jacob",1,0,0.00,0,0,2018
"Isom, Daquan",10,212,21.20,0,42,2019
"Watson, Cortez",8,198,24.75,0,38,2019
"Tarasovitch, Jake",9,197,21.89,0,36,2019
"Owens, Garrett",5,146,29.20,0,47,2019
"Waldron, Clay",3,81,27.00,0,41,2019
"Dumas, Myles",3,65,21.67,0,28,2019
"Holl, Jacob",2,16,8.00,0,11,2019
"Merritt, Hunter",1,7,7.00,0,7,2019
"Shoaf, Dustin",1,3,3.00,0,3,2019
"Pappas, Mike",2,34,17.00,0,17,2020
"Green, Fredrick",1,26,26.00,0,26,2020
"Brickman, Keith",12,281,23.42,0,38,2021
"Davison, Rylan",11,167,15.18,0,31,2021
"Alize, David",2,122,61.00,0,70,2021
"Tate, Trevon",5,87,17.40,0,20,2021
"Helsley, Zack",2,43,21.50,0,23,2021
"Ferretti, Dillon",2,24,12.00,0,14,2021
"Rodriguez, Dante",1,14,14.00,0,14,2021
"Taylor, Christian",2,5,2.50,0,5,2021
"Brickman, Keith",22,491,22.32,0,38,2022
"Alize, David",10,246,24.60,0,39,2022
"Hill Jr., Justin",6,165,27.50,0,33,2022
"Hill Jr., Justin",6,165,27.50,0,33,2022
"Mauney, Marquis",6,120,20.00,0,37,2022
"Cooper, Diondre",3,69,23.00,0,27,2022
"Tate, Trevon",3,67,22.33,0,36,2022
"Osborn, Mason",1,20,20.00,0,20,2022
"Butera, Jaylen",20,449,22.45,0,59,2023
"Alize, David",6,124,20.67,0,27,2023
"Kerbacher, Joe",7,122,17.43,0,33,2023
"Davison, Rylan",5,101,20.20,0,38,2023
"Mechley, Ryan",4,66,16.50,0,19,2023
"Elliot, Gregory",3,47,15.67,0,17,2023
"Miller, Ryan",3,38,12.67,0,23,2023
"Rodriguez, Ayro",1,20,20.00,0,20,2023
"Leavell, Jeff",1,0,0.00,0,0,2023
"Urena, Austin",1,0,0.00,0,0,2023
"Davis, Chaz",12,236,19.67,0,35,2024
"Black, Braydon",6,93,15.50,0,30,2024
"Trobel, Brian",5,67,13.40,0,23,2024
"Rodriguez, Ayron",3,43,14.33,0,20,2024
"Kerbacher, Joe",2,35,17.50,0,26,2024
"Binakonsky, Elijah",1,0,0.00,0,0,2024
"Wilson, Ashton",1,0,0.00,0,0,2024
"Wright, Travell",1,0,0.00,0,0,2024
"Woods, Jason",25,517,20.68,0,55,2025
"Askew, Jonathan",9,157,17.44,0,31,2025
"Davis, Chaz",4,33,8.25,0,18,2025
"Black, Braydon",1,22,22.00,0,22,2025
"Thompson, Chris",2,18,9.00,0,10,2025
"Vital Cloutier, Jean-Christophe",1,6,6.00,0,6,2025
"Cobb Jr., Corey",1,0,0.00,0,0,2025
