#,Name,TD,FG,SAF,KICK,RUSH,RCV,PASS,DXP,PTS,Year
24,"Brown-Dukes, Brandon",16,0,0,0-0,0-0,0,0-0,0,96,2012
97,"Wakefield, Steven",0,10,0,39-45,0-0,0,0-0,0,69,2012
17,"Woods, Devyn",9,0,0,0-0,0-0,1,0-0,0,56,2012
,"Ii, Allen jones  Ii",8,0,0,0-0,0-0,0,0-0,0,48,2012
1,"Bruner, Paris",5,0,0,0-0,0-0,0,0-0,0,30,2012
4,"Vendemia, Anthony",4,0,0,0-0,0-0,0,1-3,0,24,2012
40,"Groene, Jeff",2,0,0,0-0,0-0,0,0-0,0,12,2012
34,"Gallop, Leon",1,0,0,0-0,0-0,0,0-0,0,6,2012
49,"Revell, Milton",1,0,0,0-0,0-0,0,0-0,0,6,2012
27,"Robinson, Linnell",1,0,0,0-0,0-0,0,0-0,0,6,2012
7,"Rock, Vladmir",1,0,0,0-0,0-0,0,0-0,0,6,2012
21,"Stevens, L.J.",1,0,0,0-0,0-0,0,0-0,0,6,2012
26,"Kimball, Colin",0,0,0,0-0,1-1,0,0-0,0,2,2012
54,"Latimer, T.J.",0,0,1,0-0,0-0,0,0-0,0,2,2012
,Total,49,10,1,39-45,1-1,1,1-3,0,369,2012
,Opponents,34,5,1,33-33,1-1,0,0-0,0,256,2012
97,"Wakefield, Steven",0,16,0,41-42,0-0,0,0-0,0,89,2013
24,"Brown-Dukes, Brandon",8,0,0,0-0,0-0,0,0-0,0,48,2013
,"Ii, Allen jones  Ii",7,0,0,0-0,0-0,0,0-0,0,42,2013
8,"II, Allen",7,0,0,0-0,0-0,0,0-0,0,42,2013
,"Snipes, Marcus  Snipes",4,0,0,0-0,0-0,0,0-0,0,24,2013
40,"Groene, Jeff",3,0,0,0-0,0-0,0,0-0,0,18,2013
6,"Sanders, Richie",3,0,0,0-0,0-0,0,0-0,0,18,2013
17,"Williams, Jaquan",3,0,0,0-0,0-0,0,0-0,0,18,2013
84,"Hyland, Matt",2,0,0,0-0,0-0,0,0-0,0,12,2013
26,"Kimball, Colin",2,0,0,0-0,0-0,0,0-0,0,12,2013
48,"Latimer, T.J.",2,0,0,0-0,0-0,0,0-0,0,12,2013
14,"Robinson, Drew",2,0,0,0-0,0-0,0,0-0,0,12,2013
4,"Vendemia, Anthony",2,0,0,0-0,0-0,0,0-0,0,12,2013
87,"Barry, Pat",1,0,0,0-0,0-0,0,0-0,0,6,2013
3,"Briggs, Kyle",1,0,0,0-0,0-0,0,0-0,0,6,2013
28,"Lyle, Chris",1,0,0,0-0,0-0,0,0-0,0,6,2013
25,"Miller, R.J.",1,0,0,0-0,0-0,0,0-0,0,6,2013
5,"Swartz, Alec",1,0,0,0-0,0-0,0,0-0,0,6,2013
81,"Yarbrough, Stephen",1,0,0,0-0,0-0,0,0-0,0,6,2013
99,"Spangler, Jordan",0,1,0,1-2,0-0,0,0-0,0,4,2013
,Team  Team,0,0,2,0-0,0-0,0,0-0,0,4,2013
,Total,51,17,2,42-44,0-0,0,0-0,0,403,2013
,Opponents,31,6,0,26-30,0-1,0,0-0,0,230,2013
93,"Kondis, Dylan",0,4,0,43-43,0-0,0,0-0,0,55,2014
24,"Brown-Dukes, Brandon",7,0,0,0-0,0-0,0,0-0,0,42,2014
81,"Yarbrough, Stephen",7,0,0,0-0,0-0,0,0-0,0,42,2014
17,"Williams, Jaquan",5,0,0,0-0,0-0,1,0-0,0,32,2014
25,"Miller, R.J.",5,0,0,0-0,0-0,0,0-0,0,30,2014
48,"Latimer, T.J.",4,0,0,0-0,0-0,0,0-0,0,24,2014
13,"Boylan, Brendan",3,0,0,0-0,0-0,0,1-1,0,18,2014
27,"Robinson, Drew",3,0,0,0-0,0-0,0,0-0,0,18,2014
16,"Emerick, Zach",2,0,0,0-0,0-0,0,0-0,0,12,2014
85,"Holl, Donny",2,0,0,0-0,0-0,0,0-0,0,12,2014
26,"Kimball, Colin",2,0,0,0-0,0-0,0,0-0,0,12,2014
21,"Foster, Michael",1,0,0,0-0,0-0,0,0-0,0,6,2014
