date,opponent,Solo,aST,TOT,TFL,YDS,TOT,YDS,FF,FR,YDS,TOT,YDS,QBH,Pass Brup,Blkd Kick,SAF
2012-08-30,Notre Dame College,31,78,109,5.0,14,0,0,2,1,14,1,31,0,4,0,0
2012-09-08,Millersville,36,48,84,13.0,45,6.0,24,0,0,0,1,0,0,3,0,0
2012-09-15,Clarion University,31,46,77,5.0,10,1.0,4,1,0,0,0,0,0,6,3,0
2012-09-22,Slippery Rock,37,40,77,10.0,38,4.0,21,3,1,0,0,0,0,5,0,0
2012-09-29,Cheyney University,47,8,55,5.0,19,1.0,5,0,1,0,0,0,0,4,1,1
2012-10-06,Lock Haven,30,26,56,6.0,18,1.0,7,0,0,0,0,0,0,2,0,0
2012-10-13,Gannon University,36,24,60,8.0,34,5.0,24,2,3,36,2,9,0,6,0,0
2012-10-20,Indiana (PA),29,30,59,3.0,6,0,0,1,0,0,0,0,0,3,0,0
2012-10-27,Edinboro,34,48,82,9.0,30,5.0,21,2,2,0,0,0,0,3,0,0
2012-11-03,California (Pa.),30,36,66,3.0,13,1.0,9,1,2,0,2,52,0,4,0,0
2012-11-10,East Stroudsburg,37,41,78,3.0,15,3.0,15,0,0,0,3,2,0,5,0,0
2013-09-07,Bentley,42,13,55,5.0,13,0,0,0,0,0,1,0,2,0,1,0
2013-09-14,Millersville Univ.,55,18,73,9.0,47,6.5,41,4,1,0,3,109,0,3,1,0
2013-09-21,Clarion University,35,44,79,9.0,22,0,0,1,1,0,1,4,0,2,0,0
2013-09-28,Slippery Rock,40,42,82,4.0,14,1.0,5,0,1,0,1,58,0,1,0,0
2013-10-05,Cheyney University,53,17,70,11.0,31,1.0,4,0,0,0,1,30,4,3,0,0
2013-10-12,Seton Hill,57,12,69,4.0,17,1.0,9,1,0,0,1,0,0,4,2,1
2013-10-17,Gannon University,43,14,57,6.0,30,4.0,25,3,2,0,0,0,2,9,0,0
2013-10-26,Indiana Univ. of Pa.,53,28,81,6.0,12,0,0,1,1,0,0,0,1,2,0,0
2013-11-02,Edinboro University,52,18,70,8.0,27,5.0,22,0,0,0,1,1,6,3,0,1
2013-11-09,California (Pa.),34,24,58,4.0,19,2.0,14,1,0,0,3,27,0,4,0,0
2013-11-16,East Stroudsburg,35,32,67,6.0,15,2.0,7,1,0,0,3,7,0,4,0,0
