date,opponent,att,yds,td,long,att,yds,td,long,yds,td,long,att,yds,td,long,att,yds,td,long
2012-08-30,Notre Dame College,30,119,1,29,14,264,4,33,264,4,33,7,276,1,86,3,80,0,49
2012-09-08,Millersville,51,379,5,43,7,108,1,52,108,1,52,1,20,0,20,0,0,0,0
2012-09-15,Clarion University,42,239,1,65,8,118,2,38,118,2,38,1,27,0,27,5,22,0,18
2012-09-22,Slippery Rock,54,254,4,59,8,184,1,51,184,1,51,3,41,0,23,1,1,0,0
2012-09-29,Cheyney University,40,221,3,19,9,181,2,43,181,2,43,4,88,0,37,2,18,0,0
2012-10-06,Lock Haven,47,170,1,13,10,75,1,13,75,1,13,3,62,0,21,1,0,0,0
2012-10-13,Gannon University,56,269,3,37,12,146,1,27,146,1,27,4,119,1,83,1,1,0,1
2012-10-20,Indiana (PA),39,143,2,56,10,125,0,37,125,0,37,4,54,0,17,2,24,0,19
2012-10-27,Edinboro,43,143,2,32,14,298,1,75,298,1,75,4,74,0,49,1,-3,0,0
2012-11-03,California (Pa.),48,209,3,39,10,191,1,48,191,1,48,2,48,0,27,1,13,0,13
2012-11-10,East Stroudsburg,38,99,3,46,16,379,3,50,379,3,50,4,157,1,97,3,1,0,3
2013-09-07,Bentley,37,163,1,24,21,216,1,26,216,1,26,4,47,0,19,1,1,0,0
2013-09-14,Millersville Univ.,37,220,4,66,17,169,2,28,169,2,28,2,38,0,19,0,0,0,0
2013-09-21,Clarion University,30,219,2,77,12,96,0,19,96,0,19,5,89,0,31,1,2,0,2
2013-09-28,Slippery Rock,40,146,2,43,15,194,1,44,194,1,44,6,113,0,31,3,44,0,24
2013-10-05,Cheyney University,40,252,4,55,17,276,5,63,276,5,63,3,72,0,29,1,1,0,0
2013-10-12,Seton Hill,41,276,3,51,14,209,3,36,209,3,36,3,105,0,44,1,5,0,5
2013-10-17,Gannon University,55,407,3,58,10,221,3,52,221,3,52,2,51,0,33,2,62,0,45
2013-10-26,Indiana Univ. of Pa.,41,199,0,28,7,58,0,23,58,0,23,3,64,0,32,1,1,0,0
2013-11-02,Edinboro University,46,266,1,41,7,87,1,61,87,1,61,3,90,0,39,0,0,0,0
2013-11-09,California (Pa.),48,199,2,38,10,99,0,15,99,0,15,4,98,0,28,2,8,0,7
