player,solo_tkl,ast_tkl,tot_tkl,tfl,tfl_yards,sacks,sack_yards,FF,FR,FR_yards,interceptions,pbu,blks,QBH,year,opponent
Aaron McGee,4,11,15,1.0,2,0,0,1,0,0,0,0,0,0,2012,Notre Dame College (Ohio)
Keith Polson,4,10,14,0,0,0,0,0,0,0,0,0,0,0,2012,Notre Dame College (Ohio)
Dustin Galich,4,7,11,0.5,1,0,0,0,0,0,0,0,0,0,2012,Notre Dame College (Ohio)
Todd Wingate,2,7,9,0,0,0,0,0,0,0,0,0,0,0,2012,Notre Dame College (Ohio)
Deonte Huggins,5,3,8,1.0,5,0,0,0,0,0,1-31,1,0,0,2012,Notre Dame College (Ohio)
L.J. Stevens,1,7,8,0,0,0,0,0,0,0,0,0,0,0,2012,Notre Dame College (Ohio)
Nick Jackson,0,6,6,0,0,0,0,0,0,0,0,0,0,0,2012,Notre Dame College (Ohio)
Matt Hyland,1,4,5,1.5,3,0,0,0,0,0,0,0,0,0,2012,Notre Dame College (Ohio)
Sascha Craig,1,4,5,0,0,0,0,0,0,0,0,0,0,0,2012,Notre Dame College (Ohio)
Pat Behm,1,3,4,0,0,0,0,0,0,0,0,0,0,0,2012,Notre Dame College (Ohio)
Serge Augustin,1,3,4,1.0,3,0,0,0,0,0,0,0,0,0,2012,Notre Dame College (Ohio)
Mike Brown,2,1,3,0,0,0,0,0,0,0,0,1,0,0,2012,Notre Dame College (Ohio)
Garrett Wild,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2012,Notre Dame College (Ohio)
Niko Otto,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2012,Notre Dame College (Ohio)
Ricky Mathews,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Notre Dame College (Ohio)
Colin Kimball,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Notre Dame College (Ohio)
L. Robinson,1,0,1,0,0,0,0,1,1,14,0,0,0,0,2012,Notre Dame College (Ohio)
Chris Lyle,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Notre Dame College (Ohio)
Martin Oduho,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Notre Dame College (Ohio)
Leon Gallop,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Notre Dame College (Ohio)
Michael Foster,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Notre Dame College (Ohio)
Bobby Haraczy,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2012,Notre Dame College (Ohio)
Tyler Dawson,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Notre Dame College (Ohio)
Matt Molle',1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Notre Dame College (Ohio)
Tyler Houston,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Notre Dame College (Ohio)
Aunre' Davis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,Notre Dame College (Ohio)
Keith Polson,3,4,7,0,0,0,0,0,0,0,0,0,0,0,2012,Millersville University
Dustin Galich,2,5,7,1.5,2,0.5,2,0,0,0,0,0,0,0,2012,Millersville University
Nick Jackson,2,4,6,1.0,1,1.0,1,0,0,0,0,0,0,0,2012,Millersville University
Bobby Haraczy,0,6,6,0.5,1,0,0,0,0,0,0,0,0,0,2012,Millersville University
L. Robinson,2,3,5,0,0,0,0,0,0,0,1-0,0,0,0,2012,Millersville University
Pat Behm,4,1,5,1.0,3,0,0,0,0,0,0,1,0,0,2012,Millersville University
Niko Otto,1,4,5,0.5,1,0.5,1,0,0,0,0,0,0,0,2012,Millersville University
Aunre' Davis,3,1,4,0,0,0,0,0,0,0,0,0,0,0,2012,Millersville University
Mike Brown,1,3,4,0.5,1,0,0,0,0,0,0,0,0,0,2012,Millersville University
Todd Wingate,3,1,4,0,0,0,0,0,0,0,0,1,0,0,2012,Millersville University
Aaron McGee,2,1,3,1.0,8,1.0,8,0,0,0,0,0,0,0,2012,Millersville University
Joe Dever,2,1,3,1.0,1,0,0,0,0,0,0,0,0,0,2012,Millersville University
Curtis Hansford,2,1,3,1.5,12,0,0,0,0,0,0,0,0,0,2012,Millersville University
Matt Hyland,0,3,3,0.5,1,0,0,0,0,0,0,0,0,0,2012,Millersville University
Serge Augustin,2,1,3,2.0,8,2.0,8,0,0,0,0,0,0,0,2012,Millersville University
Chris Lyle,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2012,Millersville University
Michael Foster,2,0,2,1.0,2,0,0,0,0,0,0,1,0,0,2012,Millersville University
Garrett Wild,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2012,Millersville University
Tyler Houston,1,1,2,0.5,2,0.5,2,0,0,0,0,0,0,0,2012,Millersville University
Deonte Huggins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Millersville University
Ricky Mathews,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Millersville University
Josh Harold,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Millersville University
Martin Oduho,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Millersville University
Jeremy Baronner,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Millersville University
T.J. Latimer,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Millersville University
Steve Yarbrough,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Millersville University
Sascha Craig,0,1,1,0.5,2,0.5,2,0,0,0,0,0,0,0,2012,Millersville University
Aaron McGee,2,7,9,0,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
Keith Polson,5,3,8,0,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
Aunre' Davis,3,3,6,0.5,1,0,0,0,0,0,0,0,0,0,2012,Clarion University
L.J. Stevens,2,3,5,0,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
Pat Behm,4,1,5,0,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
Niko Otto,1,4,5,1.0,2,0,0,0,0,0,0,0,0,0,2012,Clarion University
Dustin Galich,2,3,5,1.5,5,1.0,4,0,0,0,0,0,0,0,2012,Clarion University
Matt Hyland,0,5,5,0.5,1,0,0,0,0,0,0,0,0,0,2012,Clarion University
Todd Wingate,2,2,4,0,0,0,0,0,0,0,0,2,0,0,2012,Clarion University
Nick Jackson,1,3,4,0.5,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
Garrett Wild,1,2,3,0.5,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
Serge Augustin,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
Deonte Huggins,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2012,Clarion University
Mike Brown,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
Martin Oduho,1,1,2,0,0,0,0,1,0,0,0,0,0,0,2012,Clarion University
Michael Foster,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
T.J. Latimer,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
Colin Kimball,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
L. Robinson,0,1,1,0.5,1,0,0,0,0,0,0,2,0,0,2012,Clarion University
Bobby Haraczy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
Curtis Hansford,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
Sascha Craig,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
Vladmir Rock,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2012,Clarion University
Chris Lyle,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,Clarion University
Nick Jackson,2,5,7,0.5,2,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Aaron McGee,4,3,7,0,0,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Keith Polson,4,2,6,0,0,0,0,0,0,0,0,1,0,0,2012,Slippery Rock University
Todd Wingate,3,3,6,2.0,6,0,0,2,1,0,0,0,0,0,2012,Slippery Rock University
L.J. Stevens,4,2,6,0,0,0,0,0,0,0,0,1,0,0,2012,Slippery Rock University
Matt Hyland,1,4,5,0.5,1,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Serge Augustin,2,3,5,2.5,12,2.0,10,1,0,0,0,0,0,0,2012,Slippery Rock University
Garrett Wild,4,0,4,0,0,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Ricky Mathews,2,1,3,2.0,11,2.0,11,0,0,0,0,0,0,0,2012,Slippery Rock University
Michael Foster,1,2,3,0,0,0,0,0,0,0,0,1,0,0,2012,Slippery Rock University
Pat Behm,1,2,3,1.0,2,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Niko Otto,0,3,3,0.5,1,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Tyler Houston,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Sascha Craig,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Aunre' Davis,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Mike Brown,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Colin Kimball,1,1,2,0,0,0,0,0,0,0,0,1,0,0,2012,Slippery Rock University
Curtis Hansford,0,2,2,1.0,3,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Deonte Huggins,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2012,Slippery Rock University
Chris Lyle,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Bobby Haraczy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
T.J. Latimer,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
S. Wakefield,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Keith Polson,5,0,5,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
T.J. Latimer,5,0,5,0,0,0,0,0,0,0,0,0,1,0,2012,Cheyney University
Matt Hyland,3,2,5,0.5,3,0.5,3,0,0,0,0,0,0,0,2012,Cheyney University
Niko Otto,3,1,4,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
L.J. Stevens,3,0,3,1.0,2,0,0,0,0,0,0,0,0,0,2012,Cheyney University
L. Robinson,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Nick Jackson,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Joe Dever,3,0,3,2.0,9,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Serge Augustin,2,1,3,1.5,5,0.5,2,0,0,0,0,0,0,0,2012,Cheyney University
Aunre' Davis,2,0,2,0,0,0,0,0,0,0,0,1,0,0,2012,Cheyney University
Chris Lyle,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Aaron McGee,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Michael Foster,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Tyler Houston,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Allen Jones II,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Mike Brown,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2012,Cheyney University
Devyn Woods,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
