year,opponent,mu_total_first_downs,opp_total_first_downs,mu_rushing_first_downs,opp_rushing_first_downs,mu_passing_first_downs,opp_passing_first_downs,mu_penalty_first_downs,opp_penalty_first_downs,mu_rushing_net,opp_rushing_net,mu_rushing_attempts,opp_rushing_attempts,mu_rushing_tds,opp_rushing_tds,mu_passing_net,opp_passing_net,mu_completions,mu_attempts,mu_passing_ints,opp_completions,opp_attempts,opp_passing_ints,mu_td_passes,opp_td_passes,mu_total_yards,opp_total_yards,mu_plays,opp_plays,mu_fumbles,opp_fumbles,mu_fumbles_lost,opp_fumbles_lost,mu_penalties,opp_penalties,mu_penalty_yards,opp_penalty_yards,mu_punts,opp_punts,mu_punt_yards,opp_punt_yards,mu_punt_avg,opp_punt_avg,mu_punt_returns,opp_punt_returns,mu_punt_return_yards,opp_punt_return_yards,mu_punt_return_tds,opp_punt_return_tds,mu_punt_return_avg,opp_punt_return_avg,mu_kickoff_returns,opp_kickoff_returns,mu_kickoff_return_yards,opp_kickoff_return_yards,mu_kickoff_return_tds,opp_kickoff_return_tds,mu_kickoff_return_avg,opp_kickoff_return_avg,mu_ints,opp_ints,mu_int_return_yards,opp_int_return_yards,mu_int_return_tds,opp_int_return_tds
2012,Notre Dame College (Ohio),18,24,7,15,11,7,0,2,119,367,30,58,1,2,264,176,14,30,2,18,25,1,4,5,383,543,60,83,6,3,6,1,7,6,60,32,2,6,84,249,42.0,41.5,3,1,80,12,0,0,26.666666666666668,12.0,7,3,276,67,1,0,39.42857142857143,22.333333333333332,1,2,31,69,0,1
2012,Millersville University,24,13,20,8,3,3,1,2,379,149,51,42,5,1,108,106,7,11,1,14,22,1,1,0,487,255,62,64,0,1,0,0,6,5,44,55,2,8,116,264,58.0,33.0,0,1,0,10,0,0,0.0,10.0,1,5,20,100,0,0,20.0,20.0,1,1,0,0,0,0
2012,Clarion University,19,20,11,5,7,11,1,4,239,123,42,38,1,1,118,162,8,20,0,14,31,0,2,1,357,285,62,69,2,1,0,0,11,5,105,39,5,3,188,177,37.6,59.0,5,2,22,0,0,0,4.4,0.0,1,2,27,27,0,0,27.0,13.5,0,0,0,0,0,0
2012,Slippery Rock University,19,21,12,13,5,7,2,1,254,252,54,40,4,3,184,117,8,13,0,13,27,0,1,0,438,369,67,67,3,3,0,1,7,6,51,40,5,6,177,233,35.4,38.833333333333336,1,2,1,15,0,0,1.0,7.5,3,4,41,89,0,0,13.666666666666666,22.25,0,0,0,0,0,0
2012,Cheyney University,22,16,13,14,7,1,2,1,221,201,40,46,3,1,181,39,9,14,1,4,12,0,2,0,402,240,54,58,3,3,1,1,8,8,55,65,2,3,85,117,42.5,39.0,2,2,18,9,0,0,9.0,4.5,4,4,88,58,0,0,22.0,14.5,0,1,0,0,0,0
2012,Lock Haven University,20,11,11,3,7,7,2,1,170,81,47,30,1,0,75,138,10,20,0,13,21,0,1,1,245,219,67,51,2,1,0,0,2,6,20,55,5,6,238,232,47.6,38.666666666666664,1,1,0,11,0,0,0.0,11.0,3,2,62,30,0,0,20.666666666666668,15.0,0,0,0,0,0,0
2012,Gannon University,26,20,16,1,9,16,1,3,269,11,56,21,3,0,146,428,12,24,0,25,42,2,1,3,415,439,80,63,1,3,1,3,6,5,64,45,4,4,171,136,42.75,34.0,1,2,1,72,0,1,1.0,36.0,4,6,119,143,1,0,29.75,23.833333333333332,2,0,9,0,0,0
2012,Indiana University of Pennsylvania,13,17,7,14,4,3,2,0,143,290,39,41,2,3,125,126,10,24,1,7,15,0,0,1,268,416,63,56,1,1,0,0,6,4,45,31,4,3,170,108,42.5,36.0,2,0,24,0,0,0,12.0,0.0,4,2,54,46,0,0,13.5,23.0,0,1,0,0,0,0
2012,Edinboro University,15,16,8,10,6,4,1,2,143,158,43,43,2,1,298,88,14,25,1,16,27,0,1,1,441,246,68,70,1,3,1,2,6,3,59,25,4,7,107,272,26.75,38.857142857142854,1,3,,49,3,1,0.0,16.333333333333332,4,3,74,56,0,0,18.5,18.666666666666668,0,1,0,3,0,0
2012,California University of Pennsylvania,23,17,10,8,8,7,5,2,209,111,48,28,3,1,191,133,10,15,0,15,34,2,1,0,400,244,63,62,2,2,2,2,7,9,69,86,4,6,170,246,42.5,41.0,1,0,13,0,0,0,13.0,0.0,2,7,48,136,0,0,24.0,19.428571428571427,2,0,52,0,1,0
