year,opponent,url
2012,Notre Dame College (Ohio),https://hurstathletics.com/sports/football/stats/2012/notre-dame-college-ohio-/boxscore/4551
2012,Millersville University,https://hurstathletics.com/sports/football/stats/2012/millersville-university/boxscore/4552
2012,Clarion University,https://hurstathletics.com/sports/football/stats/2012/clarion-university/boxscore/4553
2012,Slippery Rock University,https://hurstathletics.com/sports/football/stats/2012/slippery-rock-university/boxscore/4554
2012,Cheyney University,https://hurstathletics.com/sports/football/stats/2012/cheyney-university/boxscore/4555
2012,Lock Haven University,https://hurstathletics.com/sports/football/stats/2012/lock-haven-university/boxscore/4556
2012,Gannon University,https://hurstathletics.com/sports/football/stats/2012/gannon-university/boxscore/4557
2012,Indiana University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2012/indiana-university-of-pennsylvania/boxscore/4558
2012,Edinboro University,https://hurstathletics.com/sports/football/stats/2012/edinboro-university/boxscore/4559
2012,California University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2012/california-university-of-pennsylvania/boxscore/4560
2012,East Stroudsburg University,https://hurstathletics.com/sports/football/stats/2012/east-stroudsburg-university/boxscore/4561
2013,Bentley University,https://hurstathletics.com/sports/football/stats/2013/bentley-university/boxscore/5275
2013,Millersville University,https://hurstathletics.com/sports/football/stats/2013/millersville-university/boxscore/5276
2013,Clarion University,https://hurstathletics.com/sports/football/stats/2013/clarion-university/boxscore/5277
2013,Slippery Rock University,https://hurstathletics.com/sports/football/stats/2013/slippery-rock-university/boxscore/5278
2013,Cheyney University,https://hurstathletics.com/sports/football/stats/2013/cheyney-university/boxscore/5279
2013,Seton Hill University,https://hurstathletics.com/sports/football/stats/2013/seton-hill-university/boxscore/5280
2013,Gannon University,https://hurstathletics.com/sports/football/stats/2013/gannon-university/boxscore/5281
2013,Indiana University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2013/indiana-university-of-pennsylvania/boxscore/5282
2013,Edinboro University,https://hurstathletics.com/sports/football/stats/2013/edinboro-university/boxscore/5283
2013,California University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2013/california-university-of-pennsylvania/boxscore/5284
2013,East Stroudsburg University,https://hurstathletics.com/sports/football/stats/2013/east-stroudsburg-university/boxscore/5285
2014,Bentley University,https://hurstathletics.com/sports/football/stats/2014/bentley-university/boxscore/6029
2014,West Chester University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2014/west-chester-university-of-pennsylvania/boxscore/5884
2014,Bloomsburg University,https://hurstathletics.com/sports/football/stats/2014/bloomsburg-university/boxscore/5885
2014,Indiana University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2014/indiana-university-of-pennsylvania/boxscore/5886
2014,Clarion University,https://hurstathletics.com/sports/football/stats/2014/clarion-university/boxscore/5887
2014,Gannon University,https://hurstathletics.com/sports/football/stats/2014/gannon-university/boxscore/5888
2014,Slippery Rock University,https://hurstathletics.com/sports/football/stats/2014/slippery-rock-university/boxscore/5889
2014,Edinboro University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2014/edinboro-university-of-pennsylvania/boxscore/5890
2014,Seton Hill University,https://hurstathletics.com/sports/football/stats/2014/seton-hill-university/boxscore/5891
2014,California University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2014/california-university-of-pennsylvania/boxscore/5892
2014,Shippensburg University,https://hurstathletics.com/sports/football/stats/2014/shippensburg-university/boxscore/5893
2015,Bentley University,https://hurstathletics.com/sports/football/stats/2015/bentley-university/boxscore/6802
2015,West Chester University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2015/west-chester-university-of-pennsylvania/boxscore/6803
2015,Bloomsburg University,https://hurstathletics.com/sports/football/stats/2015/bloomsburg-university/boxscore/6804
2015,Indiana University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2015/indiana-university-of-pennsylvania/boxscore/6805
2015,Clarion University,https://hurstathletics.com/sports/football/stats/2015/clarion-university/boxscore/6806
2015,Gannon University,https://hurstathletics.com/sports/football/stats/2015/gannon-university/boxscore/6807
2015,Slippery Rock University,https://hurstathletics.com/sports/football/stats/2015/slippery-rock-university/boxscore/6808
2015,Edinboro University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2015/edinboro-university-of-pennsylvania/boxscore/6809
2015,Seton Hill University,https://hurstathletics.com/sports/football/stats/2015/seton-hill-university/boxscore/6810
2015,California University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2015/california-university-of-pennsylvania/boxscore/6811
2015,Shippensburg University,https://hurstathletics.com/sports/football/stats/2015/shippensburg-university/boxscore/6812
2016,Ashland University,https://hurstathletics.com/sports/football/stats/2016/ashland-university/boxscore/7582
2016,Kutztown University,https://hurstathletics.com/sports/football/stats/2016/kutztown-university/boxscore/7583
2016,East Stroudsburg University,https://hurstathletics.com/sports/football/stats/2016/east-stroudsburg-university/boxscore/7584
2016,Clarion University,https://hurstathletics.com/sports/football/stats/2016/clarion-university/boxscore/7585
2016,Gannon University,https://hurstathletics.com/sports/football/stats/2016/gannon-university/boxscore/7586
2016,Slippery Rock University,https://hurstathletics.com/sports/football/stats/2016/slippery-rock-university/boxscore/7587
2016,Edinboro University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2016/edinboro-university-of-pennsylvania/boxscore/7588
2016,Seton Hill University,https://hurstathletics.com/sports/football/stats/2016/seton-hill-university/boxscore/7589
2016,California University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2016/california-university-of-pennsylvania/boxscore/7590
2016,Indiana University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2016/indiana-university-of-pennsylvania/boxscore/7591
2016,Lock Haven University,https://hurstathletics.com/sports/football/stats/2016/lock-haven-university/boxscore/7592
2017,Hillsdale College,https://hurstathletics.com/sports/football/stats/2017/hillsdale-college/boxscore/9280
2017,Kutztown University,https://hurstathletics.com/sports/football/stats/2017/kutztown-university/boxscore/9281
2017,East Stroudsburg University,https://hurstathletics.com/sports/football/stats/2017/east-stroudsburg-university/boxscore/9282
2017,Clarion University,https://hurstathletics.com/sports/football/stats/2017/clarion-university/boxscore/9283
2017,Gannon University,https://hurstathletics.com/sports/football/stats/2017/gannon-university/boxscore/9284
2017,Slippery Rock University,https://hurstathletics.com/sports/football/stats/2017/slippery-rock-university/boxscore/9285
2017,Edinboro University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2017/edinboro-university-of-pennsylvania/boxscore/9286
2017,Seton Hill University,https://hurstathletics.com/sports/football/stats/2017/seton-hill-university/boxscore/9287
2017,California University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2017/california-university-of-pennsylvania/boxscore/9288
2017,Indiana University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2017/indiana-university-of-pennsylvania/boxscore/9289
2017,Lock Haven University,https://hurstathletics.com/sports/football/stats/2017/lock-haven-university/boxscore/9290
2018,Hillsdale College,https://hurstathletics.com/sports/football/stats/2018/hillsdale-college/boxscore/9898
2018,Tiffin University (Ohio),https://hurstathletics.com/sports/football/stats/2018/tiffin-university-ohio-/boxscore/9899
2018,Bloomsburg University,https://hurstathletics.com/sports/football/stats/2018/bloomsburg-university/boxscore/9900
2018,Indiana University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2018/indiana-university-of-pennsylvania/boxscore/9901
2018,Slippery Rock University,https://hurstathletics.com/sports/football/stats/2018/slippery-rock-university/boxscore/9902
2018,Edinboro University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2018/edinboro-university-of-pennsylvania/boxscore/9903
2018,Seton Hill University,https://hurstathletics.com/sports/football/stats/2018/seton-hill-university/boxscore/9904
2018,California University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2018/california-university-of-pennsylvania/boxscore/9905
2018,Gannon University,https://hurstathletics.com/sports/football/stats/2018/gannon-university/boxscore/9906
2018,Clarion University,https://hurstathletics.com/sports/football/stats/2018/clarion-university/boxscore/9907
2018,Millersville University,https://hurstathletics.com/sports/football/stats/2018/millersville-university/boxscore/9908
2019,Lake Erie College,https://hurstathletics.com/sports/football/stats/2019/lake-erie-college/boxscore/10576
2019,Shepherd University,https://hurstathletics.com/sports/football/stats/2019/shepherd-university/boxscore/10577
2019,Bloomsburg University,https://hurstathletics.com/sports/football/stats/2019/bloomsburg-university/boxscore/10578
2019,Indiana University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2019/indiana-university-of-pennsylvania/boxscore/10579
2019,Slippery Rock University,https://hurstathletics.com/sports/football/stats/2019/slippery-rock-university/boxscore/10580
2019,Edinboro University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2019/edinboro-university-of-pennsylvania/boxscore/10581
2019,Seton Hill University (Pa.),https://hurstathletics.com/sports/football/stats/2019/seton-hill-university-pa-/boxscore/10582
2019,California University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2019/california-university-of-pennsylvania/boxscore/10583
2019,Gannon University,https://hurstathletics.com/sports/football/stats/2019/gannon-university/boxscore/10584
2019,Clarion University,https://hurstathletics.com/sports/football/stats/2019/clarion-university/boxscore/10585
2019,Millersville University,https://hurstathletics.com/sports/football/stats/2019/millersville-university/boxscore/10586
2021,Alderson Broaddus University,https://hurstathletics.com/sports/football/stats/2021/alderson-broaddus-university/boxscore/11875
2021,West Chester,https://hurstathletics.com/sports/football/stats/2021/west-chester/boxscore/11876
2021,East Stroudsburg,https://hurstathletics.com/sports/football/stats/2021/east-stroudsburg/boxscore/11877
2021,Indiana University of Pennsylvania (Homecoming),https://hurstathletics.com/sports/football/stats/2021/indiana-university-of-pennsylvania-homecoming-/boxscore/11878
2021,California University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2021/california-university-of-pennsylvania/boxscore/11879
2021,Seton Hill University,https://hurstathletics.com/sports/football/stats/2021/seton-hill-university/boxscore/11880
2021,Edinboro University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2021/edinboro-university-of-pennsylvania/boxscore/11881
2021,Slippery Rock University,https://hurstathletics.com/sports/football/stats/2021/slippery-rock-university/boxscore/11882
2021,Clarion University,https://hurstathletics.com/sports/football/stats/2021/clarion-university/boxscore/11883
2021,Gannon University,https://hurstathletics.com/sports/football/stats/2021/gannon-university/boxscore/11884
2021,Shippensburg University,https://hurstathletics.com/sports/football/stats/2021/shippensburg-university/boxscore/11885
2022,Alderson Broaddus University,https://hurstathletics.com/sports/football/stats/2022/alderson-broaddus-university/boxscore/12552
2022,Lock Haven University,https://hurstathletics.com/sports/football/stats/2022/lock-haven-university/boxscore/12553
2022,Kutztown University,https://hurstathletics.com/sports/football/stats/2022/kutztown-university/boxscore/12554
2022,Indiana University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2022/indiana-university-of-pennsylvania/boxscore/12555
2022,Edinboro University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2022/edinboro-university-of-pennsylvania/boxscore/12556
2022,Slippery Rock University,https://hurstathletics.com/sports/football/stats/2022/slippery-rock-university/boxscore/12557
2022,Clarion University,https://hurstathletics.com/sports/football/stats/2022/clarion-university/boxscore/12558
2022,Gannon University,https://hurstathletics.com/sports/football/stats/2022/gannon-university/boxscore/12559
2022,California University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2022/california-university-of-pennsylvania/boxscore/12560
2022,Seton Hill University,https://hurstathletics.com/sports/football/stats/2022/seton-hill-university/boxscore/12561
2022,Bloomsburg University,https://hurstathletics.com/sports/football/stats/2022/bloomsburg-university/boxscore/12562
2023,#1Ferris State University,https://hurstathletics.com/sports/football/stats/2023/ferris-state-university/boxscore/13231
2023,Lock Haven University,https://hurstathletics.com/sports/football/stats/2023/lock-haven-university/boxscore/13232
2023,Kutztown University,https://hurstathletics.com/sports/football/stats/2023/kutztown-university/boxscore/13233
2023,RVIndiana University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2023/indiana-university-of-pennsylvania/boxscore/13234
2023,Edinboro University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2023/edinboro-university-of-pennsylvania/boxscore/13235
2023,#10Slippery Rock University,https://hurstathletics.com/sports/football/stats/2023/slippery-rock-university/boxscore/13236
2023,Clarion University,https://hurstathletics.com/sports/football/stats/2023/clarion-university/boxscore/13237
2023,Gannon University,https://hurstathletics.com/sports/football/stats/2023/gannon-university/boxscore/13238
2023,California University of Pennsylvania,https://hurstathletics.com/sports/football/stats/2023/california-university-of-pennsylvania/boxscore/13239
2023,Seton Hill University,https://hurstathletics.com/sports/football/stats/2023/seton-hill-university/boxscore/13240
2023,RVShepherd University,https://hurstathletics.com/sports/football/stats/2023/shepherd-university/boxscore/13406
2024,Wheeling University,https://hurstathletics.com/sports/football/stats/2024/wheeling-university/boxscore/14044
2024,Howard University,https://hurstathletics.com/sports/football/stats/2024/howard-university/boxscore/14045
2024,Robert Morris University,https://hurstathletics.com/sports/football/stats/2024/robert-morris-university/boxscore/14046
2024,Montana State University,https://hurstathletics.com/sports/football/stats/2024/montana-state-university/boxscore/14047
2024,Frostburg State University,https://hurstathletics.com/sports/football/stats/2024/frostburg-state-university/boxscore/14048
2024,Buffalo State,https://hurstathletics.com/sports/football/stats/2024/buffalo-state/boxscore/14049
2024,Central Connecticut State University,https://hurstathletics.com/sports/football/stats/2024/central-connecticut-state-university/boxscore/14050
2024,Sacred Heart University,https://hurstathletics.com/sports/football/stats/2024/sacred-heart-university/boxscore/14051
2024,Duquesne University,https://hurstathletics.com/sports/football/stats/2024/duquesne-university/boxscore/14052
2024,Lincoln University,https://hurstathletics.com/sports/football/stats/2024/lincoln-university/boxscore/14053
2024,Saint Francis University,https://hurstathletics.com/sports/football/stats/2024/saint-francis-university/boxscore/14054
2025,RVYoungstown State,https://hurstathletics.com/sports/football/stats/2025/youngstown-state/boxscore/14734
2025,New Haven,https://hurstathletics.com/sports/football/stats/2025/new-haven/boxscore/14735
2025,#21Sacramento State,https://hurstathletics.com/sports/football/stats/2025/sacramento-state/boxscore/14736
2025,#4/5Montana State,https://hurstathletics.com/sports/football/stats/2025/montana-state/boxscore/14739
2025,#2South Dakota State,https://hurstathletics.com/sports/football/stats/2025/south-dakota-state/boxscore/14740
2025,LIU,https://hurstathletics.com/sports/football/stats/2025/liu/boxscore/14743
2025,Wagner,https://hurstathletics.com/sports/football/stats/2025/wagner/boxscore/14744
2025,Duquesne,https://hurstathletics.com/sports/football/stats/2025/duquesne/boxscore/14746
2025,Stonehill,https://hurstathletics.com/sports/football/stats/2025/stonehill/boxscore/14747
2025,Saint Francis,https://hurstathletics.com/sports/football/stats/2025/saint-francis/boxscore/14748
2025,Robert Morris,https://hurstathletics.com/sports/football/stats/2025/robert-morris/boxscore/14749
2025,Central Connecticut State,https://hurstathletics.com/sports/football/stats/2025/central-connecticut-state/boxscore/14750
