player,completions,attempts,passing_yards,passing_tds,interceptions,long_pass,sacks,year,opponent
A. Vendemia,14,30,264,4,2,33,4,2012,Notre Dame College (Ohio)
A. Vendemia,7,11,108,1,1,52,2,2012,Millersville University
Vladmir Rock,0,0,0,0,0,0,1,2012,Millersville University
A. Vendemia,8,20,118,2,0,38,1,2012,Clarion University
A. Vendemia,7,11,143,1,0,51,2,2012,Slippery Rock University
Vladmir Rock,1,1,41,0,0,41,0,2012,Slippery Rock University
TEAM,0,1,0,0,0,0,0,2012,Slippery Rock University
A. Vendemia,9,12,181,2,1,43,1,2012,Cheyney University
Alec Swartz,0,2,0,0,0,0,0,2012,Cheyney University
A. Vendemia,10,20,75,1,0,13,1,2012,Lock Haven University
A. Vendemia,12,24,146,1,0,27,3,2012,Gannon University
A. Vendemia,10,23,125,0,1,37,2,2012,Indiana University of Pennsylvania
Devyn Woods,0,1,0,0,0,0,0,2012,Indiana University of Pennsylvania
A. Vendemia,12,23,208,1,1,49,1,2012,Edinboro University
Alec Swartz,2,2,90,0,0,75,0,2012,Edinboro University
A. Vendemia,10,13,191,1,0,48,2,2012,California University of Pennsylvania
Alec Swartz,0,2,0,0,0,0,0,2012,California University of Pennsylvania
A. Vendemia,16,24,379,3,1,50,8,2012,East Stroudsburg University
A. Vendemia,20,34,207,1,0,26,1,2013,Bentley University
Brendan Boylan,1,1,9,0,0,9,0,2013,Bentley University
A. Vendemia,12,13,116,2,0,28,0,2013,Millersville University
Alec Swartz,3,4,35,0,0,13,0,2013,Millersville University
Zach Emerick,2,3,18,0,0,9,0,2013,Millersville University
A. Vendemia,12,26,96,0,4,19,2,2013,Clarion University
Anthony Vendemia,6,18,111,0,0,44,1,2013,Slippery Rock University
Zach Emerick,7,12,67,1,0,16,0,2013,Slippery Rock University
Alec Swartz,2,5,16,0,0,12,2,2013,Slippery Rock University
A. Vendemia,13,16,221,4,0,63,0,2013,Cheyney University
Alec Swartz,4,4,55,1,0,18,0,2013,Cheyney University
Alec Swartz,12,16,168,3,0,36,2,2013,Seton Hill University
Zach Emerick,2,4,41,0,0,27,0,2013,Seton Hill University
A. Vendemia,10,18,221,3,1,52,1,2013,Gannon University
A. Vendemia,4,16,29,0,2,11,1,2013,Indiana University of Pennsylvania
Alec Swartz,3,11,29,0,0,23,0,2013,Indiana University of Pennsylvania
A. Vendemia,3,10,70,1,2,61,0,2013,Edinboro University
Zach Emerick,4,6,17,0,0,7,0,2013,Edinboro University
Anthony Vendemia,10,15,99,0,0,15,2,2013,California University of Pennsylvania
A. Vendemia,14,19,185,1,0,30,5,2013,East Stroudsburg University
Zach Emerick,14,24,106,1,1,37,2,2014,Bentley University
Brendan Boylan,9,20,126,1,0,34,0,2014,West Chester University of Pennsylvania
Zach Emerick,8,16,86,0,1,30,1,2014,West Chester University of Pennsylvania
Brendan Boylan,18,32,173,2,3,28,0,2014,Bloomsburg University
R. Finnegan,2,5,29,0,0,18,0,2014,Bloomsburg University
Zach Emerick,1,1,15,0,0,15,0,2014,Bloomsburg University
Brendan Boylan,4,12,59,0,0,47,1,2014,Indiana University of Pennsylvania
Zach Emerick,7,10,58,0,0,19,2,2014,Indiana University of Pennsylvania
Ramroth Finnegan,0,2,0,0,0,0,0,2014,Indiana University of Pennsylvania
Brendan Boylan,14,25,241,3,0,78,0,2014,Clarion University
Zach Emerick,0,1,0,0,0,0,0,2014,Clarion University
Brendan Boylan,28,44,446,4,0,48,1,2014,Gannon University
Brendan Boylan,24,37,385,4,0,51,0,2014,Slippery Rock University
Zach Emerick,1,1,6,1,0,6,0,2014,Slippery Rock University
Brendan Boylan,19,33,321,2,1,57,2,2014,Edinboro University of Pennsylvania
Brendan Boylan,13,29,248,2,3,48,0,2014,Seton Hill University
Zach Emerick,1,1,4,1,0,4,0,2014,Seton Hill University
Brendan Boylan,37,49,544,6,0,54,1,2014,California University of Pennsylvania
Brendan Boylan,26,38,409,5,1,44,0,2014,Shippensburg University
Brendan Boylan,20,25,305,3,0,42,0,2015,Bentley University
Brendan Boylan,19,41,331,3,1,44,1,2015,West Chester University of Pennsylvania
Dylan Kondis,1,1,1,0,0,1,0,2015,West Chester University of Pennsylvania
Brendan Boylan,16,35,222,3,1,42,0,2015,Bloomsburg University
Brendan Boylan,25,46,344,2,4,36,1,2015,Indiana University of Pennsylvania
Zach Emerick,1,1,13,0,0,13,0,2015,Indiana University of Pennsylvania
Brendan Boylan,21,32,141,3,0,21,2,2015,Clarion University
Zach Emerick,6,6,70,1,0,26,1,2015,Clarion University
Zach Emerick,14,25,142,0,1,29,4,2015,Gannon University
Dylan Bongiorni,1,1,28,0,0,28,0,2015,Gannon University
Brendan Boylan,2,3,11,0,0,10,0,2015,Gannon University
Logan Weaver,1,3,6,0,1,6,0,2015,Gannon University
TEAM,0,1,0,0,0,0,0,2015,Gannon University
Zach Emerick,39,65,412,3,3,35,3,2015,Slippery Rock University
Zach Emerick,11,18,64,1,1,21,4,2015,Edinboro University of Pennsylvania
Zach Emerick,20,30,311,4,0,68,0,2015,Seton Hill University
TEAM,0,2,0,0,0,0,0,2015,Seton Hill University
Zach Emerick,13,21,123,1,0,24,4,2015,California University of Pennsylvania
Logan Weaver,7,16,116,1,1,27,0,2015,California University of Pennsylvania
TEAM,0,1,0,0,0,0,0,2015,California University of Pennsylvania
Logan Weaver,19,34,229,1,5,66,3,2015,Shippensburg University
Brendan Boylan,0,1,0,0,0,0,0,2015,Shippensburg University
Dylan Bongiorni,0,2,0,0,1,0,0,2015,Shippensburg University
Doug Altavilla,10,22,144,0,0,53,5,2016,Ashland University
Logan Weaver,5,10,37,0,0,16,0,2016,Ashland University
Doug Altavilla,16,28,108,1,0,19,8,2016,Kutztown University
Logan Weaver,0,1,0,0,0,0,0,2016,Kutztown University
Doug Altavilla,22,38,314,3,1,57,3,2016,East Stroudsburg University
Doug Altavilla,17,25,306,3,1,89,2,2016,Clarion University
Doug Altavilla,16,24,144,2,2,25,3,2016,Gannon University
Richie Sanders,1,1,69,1,0,69,0,2016,Gannon University
Brad Novak,0,1,0,0,0,0,0,2016,Gannon University
Doug Altavilla,19,30,208,3,1,43,3,2016,Slippery Rock University
Doug Altavilla,7,11,72,0,1,14,3,2016,Edinboro University of Pennsylvania
Logan Weaver,8,15,48,0,0,17,2,2016,Edinboro University of Pennsylvania
Ram Finnegan,2,5,13,0,0,10,0,2016,Edinboro University of Pennsylvania
Brad Novak,0,1,0,0,0,0,0,2016,Edinboro University of Pennsylvania
Doug Altavilla,27,57,406,4,3,42,6,2016,Seton Hill University
TEAM,0,2,0,0,0,0,0,2016,Seton Hill University
Doug Altavilla,15,33,149,0,0,35,6,2016,California University of Pennsylvania
Logan Weaver,3,6,33,0,0,18,0,2016,California University of Pennsylvania
Doug Altavilla,22,37,243,1,2,39,2,2016,Indiana University of Pennsylvania
Doug Altavilla,18,22,243,2,0,39,0,2016,Lock Haven University
