player,receptions,receiving_yards,receiving_tds,long_reception,year,opponent
Devyn Woods,5,77,2,23,2012,Notre Dame College (Ohio)
Vladmir Rock,3,72,1,33,2012,Notre Dame College (Ohio)
Ryan Bartizal,2,44,0,27,2012,Notre Dame College (Ohio)
Steve Yarbrough,2,27,0,17,2012,Notre Dame College (Ohio)
Paris Bruner,1,24,0,24,2012,Notre Dame College (Ohio)
Allen Jones II,1,20,1,20,2012,Notre Dame College (Ohio)
Paris Bruner,1,52,1,52,2012,Millersville University
Devyn Woods,2,22,0,14,2012,Millersville University
Leon Gallop,1,19,0,19,2012,Millersville University
Jeff Groene,3,15,0,6,2012,Millersville University
Paris Bruner,2,44,1,38,2012,Clarion University
Devyn Woods,3,43,1,20,2012,Clarion University
B. Brown-Dukes,1,14,0,14,2012,Clarion University
Vladmir Rock,1,12,0,12,2012,Clarion University
Leon Gallop,1,5,0,5,2012,Clarion University
Paris Bruner,4,114,0,51,2012,Slippery Rock University
Devyn Woods,2,51,1,42,2012,Slippery Rock University
Jeff Groene,1,12,0,12,2012,Slippery Rock University
B. Brown-Dukes,1,7,0,7,2012,Slippery Rock University
Devyn Woods,4,93,1,40,2012,Cheyney University
Paris Bruner,2,52,0,43,2012,Cheyney University
Jeff Groene,2,23,1,13,2012,Cheyney University
Leon Gallop,1,13,0,13,2012,Cheyney University
Devyn Woods,3,32,0,12,2012,Lock Haven University
Paris Bruner,3,21,0,13,2012,Lock Haven University
B. Brown-Dukes,1,12,0,12,2012,Lock Haven University
Jeff Groene,2,9,1,6,2012,Lock Haven University
Allen Jones II,1,1,0,1,2012,Lock Haven University
Paris Bruner,6,66,0,18,2012,Gannon University
Ozzie Lumpkin,2,46,0,27,2012,Gannon University
Devyn Woods,2,29,1,16,2012,Gannon University
Jeff Groene,1,4,0,4,2012,Gannon University
Leon Gallop,1,1,0,1,2012,Gannon University
Paris Bruner,3,42,0,16,2012,Indiana University of Pennsylvania
Devyn Woods,1,37,0,37,2012,Indiana University of Pennsylvania
Leon Gallop,1,24,0,24,2012,Indiana University of Pennsylvania
Ozzie Lumpkin,2,14,0,8,2012,Indiana University of Pennsylvania
B. Brown-Dukes,2,6,0,5,2012,Indiana University of Pennsylvania
Paul Gallagher,1,2,0,2,2012,Indiana University of Pennsylvania
Paris Bruner,6,187,0,75,2012,Edinboro University
John Matarazzo,3,53,0,47,2012,Edinboro University
Leon Gallop,2,36,1,26,2012,Edinboro University
Ryan Bartizal,1,15,0,15,2012,Edinboro University
Devyn Woods,1,5,0,5,2012,Edinboro University
Paul Gallagher,1,2,0,2,2012,Edinboro University
Devyn Woods,3,76,0,42,2012,California University of Pennsylvania
Paris Bruner,4,72,1,48,2012,California University of Pennsylvania
