player,attempts,rush_net,rush_tds,long_rush,year,opponent
Allen Jones II,9,57,1,17,2012,Notre Dame College (Ohio)
B. Brown-Dukes,7,39,0,29,2012,Notre Dame College (Ohio)
A. Vendemia,14,23,0,24,2012,Notre Dame College (Ohio)
B. Brown-Dukes,22,213,3,43,2012,Millersville University
Allen Jones II,17,132,1,29,2012,Millersville University
Milton Revell,5,39,1,16,2012,Millersville University
Chris Lyle,3,8,0,6,2012,Millersville University
Vladmir Rock,1,-2,0,0,2012,Millersville University
A. Vendemia,3,-11,0,6,2012,Millersville University
B. Brown-Dukes,20,157,1,65,2012,Clarion University
Allen Jones II,13,67,0,15,2012,Clarion University
A. Vendemia,6,20,0,9,2012,Clarion University
TEAM,3,-5,0,0,2012,Clarion University
B. Brown-Dukes,29,160,2,59,2012,Slippery Rock University
Allen Jones II,16,102,2,17,2012,Slippery Rock University
A. Vendemia,5,-2,0,9,2012,Slippery Rock University
S. Wakefield,2,-2,0,13,2012,Slippery Rock University
TEAM,2,-4,0,0,2012,Slippery Rock University
B. Brown-Dukes,21,99,3,17,2012,Cheyney University
Allen Jones II,7,62,0,19,2012,Cheyney University
Milton Revell,7,48,0,14,2012,Cheyney University
Chris Lyle,2,8,0,8,2012,Cheyney University
A. Vendemia,2,3,0,8,2012,Cheyney University
Paul Gallagher,1,1,0,1,2012,Cheyney University
Allen Jones II,24,111,1,13,2012,Lock Haven University
B. Brown-Dukes,18,39,0,9,2012,Lock Haven University
Devyn Woods,1,11,0,11,2012,Lock Haven University
A. Vendemia,4,9,0,7,2012,Lock Haven University
B. Brown-Dukes,30,192,1,37,2012,Gannon University
Allen Jones II,12,38,0,11,2012,Gannon University
Milton Revell,7,32,0,25,2012,Gannon University
John Matarazzo,1,9,0,9,2012,Gannon University
A. Vendemia,6,-2,2,2,2012,Gannon University
B. Brown-Dukes,30,134,1,56,2012,Indiana University of Pennsylvania
A. Vendemia,6,9,1,5,2012,Indiana University of Pennsylvania
Allen Jones II,2,2,0,2,2012,Indiana University of Pennsylvania
TEAM,1,-2,0,0,2012,Indiana University of Pennsylvania
B. Brown-Dukes,29,64,2,14,2012,Edinboro University
Chris Lyle,5,56,0,32,2012,Edinboro University
A. Vendemia,7,26,0,10,2012,Edinboro University
TEAM,2,-3,0,0,2012,Edinboro University
B. Brown-Dukes,21,124,2,39,2012,California University of Pennsylvania
Allen Jones II,11,37,1,7,2012,California University of Pennsylvania
Paul Gallagher,2,17,0,14,2012,California University of Pennsylvania
Devyn Woods,2,13,0,12,2012,California University of Pennsylvania
Chris Lyle,3,8,0,4,2012,California University of Pennsylvania
Alec Swartz,1,5,0,5,2012,California University of Pennsylvania
Milton Revell,4,3,0,2,2012,California University of Pennsylvania
A. Vendemia,4,2,0,10,2012,California University of Pennsylvania
B. Brown-Dukes,17,74,1,21,2012,East Stroudsburg University
Allen Jones II,7,58,1,46,2012,East Stroudsburg University
Leon Gallop,1,0,0,0,2012,East Stroudsburg University
TEAM,2,-3,0,0,2012,East Stroudsburg University
A. Vendemia,11,-30,1,16,2012,East Stroudsburg University
